action,client_order_id,created_time,expiration_time,fill_count_fp,initial_count_fp,last_update_time,maker_fees_dollars,maker_fill_cost_dollars,no_price_dollars,order_group_id,order_id,remaining_count_fp,side,status,subaccount_number,taker_fees_dollars,taker_fill_cost_dollars,ticker,type,user_id,yes_price_dollars,self_trade_prevention_type
buy,,2026-03-14T05:54:57.987474Z,,16.00,16.00,2026-03-14T05:54:57.987474Z,0.0000,0.0000,0.0100,,33160086-6f60-4bce-b75a-fb638e439af2,0.00,yes,executed,0,0.2800,8.3200,KXNCAAMBTOTAL-26MAR14UNMSDSU-140,market,25dfc0f8-551e-4328-9713-7e2247239aa6,0.9900,
buy,,2026-03-13T12:31:21.144896Z,,564.00,564.00,2026-03-13T12:31:21.144896Z,0.0000,0.0000,0.0100,,73ca2745-0a47-4d23-a41f-5effdf724664,0.00,yes,executed,0,3.5600,56.4000,KXATPCHALLENGERMATCH-26MAR13BERSAM-BER,market,25dfc0f8-551e-4328-9713-7e2247239aa6,0.9900,
buy,,2026-03-13T10:26:39.587965Z,,968.00,968.00,2026-03-13T10:26:39.587965Z,0.0000,0.0000,0.0100,,8f797b1d-561b-474a-b4ac-dc26e4435c15,0.00,yes,executed,0,16.9400,482.5800,KXATPCHALLENGERMATCH-26MAR13TRUHOU-TRU,market,25dfc0f8-551e-4328-9713-7e2247239aa6,0.9900,
buy,36333262-3439-3530-6262-316337333036,2026-03-12T21:24:32.73784Z,,1019.00,1019.00,2026-03-12T21:24:32.73784Z,0.0000,0.0000,0.5270,,a772a85c-0e9e-40ca-8b64-8fc6a081ca92,0.00,yes,executed,0,17.7830,481.9870,KXMVECROSSCATEGORY-S2026C9E69FC5BC4-75F7AF34E6B,limit,25dfc0f8-551e-4328-9713-7e2247239aa6,0.4730,maker
buy,,2026-03-12T21:19:58.762935Z,,580.00,580.00,2026-03-12T21:19:58.762935Z,0.0000,0.0000,0.0100,,f8f89c7f-df9f-4918-b5c1-af5352f975c9,0.00,yes,executed,0,4.6000,75.4000,KXATPCHALLENGERMATCH-26MAR12SVRBLO-SVR,market,25dfc0f8-551e-4328-9713-7e2247239aa6,0.9900,
buy,,2026-03-12T11:13:08.528123Z,,234.00,234.00,2026-03-12T11:13:08.528123Z,0.0000,0.0000,0.0100,,203a2055-497e-45d7-a52c-4133770b686e,0.00,yes,executed,0,0.6300,9.3600,KXWTACHALLENGERMATCH-26MAR12BRAGRA-GRA,market,25dfc0f8-551e-4328-9713-7e2247239aa6,0.9900,
sell,,2026-03-12T10:13:33.373754Z,,2175.00,2175.00,2026-03-12T10:13:33.373754Z,0.0000,0.0000,0.9900,,5665a533-4204-4445-981b-8cfca1f9c127,0.00,yes,executed,0,27.6800,1655.5000,KXWTACHALLENGERMATCH-26MAR12CHWZID-ZID,market,25dfc0f8-551e-4328-9713-7e2247239aa6,0.0100,
buy,,2026-03-12T09:27:59.450222Z,,2175.00,2175.00,2026-03-12T09:27:59.450222Z,0.0000,0.0000,0.0100,,a425805d-b89e-4e0e-b018-e82e5ac35ac6,0.00,yes,executed,0,17.2200,282.7500,KXWTACHALLENGERMATCH-26MAR12CHWZID-ZID,market,25dfc0f8-551e-4328-9713-7e2247239aa6,0.9900,
buy,,2026-03-12T03:24:19.539219Z,,635.00,635.00,2026-03-12T03:24:19.539219Z,0.0000,0.0000,0.0100,,dd503dba-3f16-43f6-a2fa-a5e5ceb71e7a,0.00,yes,executed,0,9.3400,190.5000,KXATPMATCH-26MAR10DJODRA-DJO,market,25dfc0f8-551e-4328-9713-7e2247239aa6,0.9900,
buy,34663261-3466-6534-3239-333339383635,2026-03-11T19:09:56.981282Z,,545.00,545.00,2026-03-11T19:09:56.981282Z,0.0000,0.0000,0.4680,,00691107-4b24-4d99-988a-11960e7ada13,0.00,yes,executed,0,9.5000,289.9400,KXMVECROSSCATEGORY-S20261C9C1FB2DAB-A5A3E916B6C,limit,25dfc0f8-551e-4328-9713-7e2247239aa6,0.5320,maker
